区域号	区域类型	X坐标	Y坐标	Z坐标	线段类型	圆心X	圆心Y	圆心Z	节点	节点X坐标	节点Y坐标	Z坐标	
A609	1	11823.1	10251.5	495	1	0	0	0	A609D1	11844.1	10206.2	495	5
0	0	11806.1	10287.8	495	1	0	0	0	0	0	0	0	0
0	0	12078	10414.5	495	1	0	0	0	0	0	0	0	0
0	0	12231.4	10085.6	495	1	0	0	0	0	0	0	0	0
0	0	11959.6	9958.8	495	1	0	0	0	0	0	0	0	0
0	0	11865.3	10160.9	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A611	1	12053.8	9756.7	495	1	0	0	0	A611D1	12074.9	9711.3	495	5
0	0	11959.6	9958.8	495	1	0	0	0	0	0	0	0	0
0	0	12231.4	10085.6	495	1	0	0	0	0	0	0	0	0
0	0	12384.9	9756.6	495	1	0	0	0	0	0	0	0	0
0	0	12113	9629.8	495	1	0	0	0	0	0	0	0	0
0	0	12096.1	9666	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A613	1	12129.9	9593.5	495	1	0	0	0	A613D1	12151	9548.2	495	5
0	0	12113	9629.8	495	1	0	0	0	0	0	0	0	0
0	0	12384.9	9756.6	495	1	0	0	0	0	0	0	0	0
0	0	12615.2	9292.6	495	3	0	0	0	0	0	0	0	0
0	0	12343.3	9135.8	495	1	0	0	0	0	0	0	0	0
0	0	12172.1	9502.9	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A615	1	12514.5	8768.8	495	1	0	0	0	A615D1	12535.6	8723.5	495	5
0	0	12343.3	9135.8	495	3	0	0	0	0	0	0	0	0
0	0	12615.2	9292.6	495	1	0	0	0	0	0	0	0	0
0	0	12838.1	8784.5	495	1	0	0	0	0	0	0	0	0
0	0	12566.2	8657.8	495	1	0	0	0	0	0	0	0	0
0	0	12556.7	8678.2	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A617	1	12575.7	8637.4	495	1	0	0	0	A617D1	12596.9	8592.1	495	5
0	0	12566.2	8657.8	495	1	0	0	0	0	0	0	0	0
0	0	12838.1	8784.5	495	1	0	0	0	0	0	0	0	0
0	0	13058.9	8311	495	3	0	0	0	0	0	0	0	0
0	0	12787	8184.2	495	1	0	0	0	0	0	0	0	0
0	0	12618	8546.7	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A619	1	12956.1	7821.7	495	1	0	0	0	A619D1	12977.2	7776.4	495	5
0	0	12787	8184.2	495	3	0	0	0	0	0	0	0	0
0	0	13058.9	8311	495	1	0	0	0	0	0	0	0	0
0	0	13299	7796.2	495	1	0	0	0	0	0	0	0	0
0	0	13027.1	7669.4	495	1	0	0	0	0	0	0	0	0
0	0	12998.4	7731.1	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A623	1	13344.1	6989.7	495	1	0	0	0	A623D1	13365.2	6944.4	495	5
0	0	13306	7071.3	495	1	0	0	0	0	0	0	0	0
0	0	13577.9	7198.1	495	1	0	0	0	0	0	0	0	0
0	0	13751.8	6825.1	495	1	0	0	0	0	0	0	0	0
0	0	13479.9	6698.3	495	1	0	0	0	0	0	0	0	0
0	0	13386.3	6899.1	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A625	1	13573.5	6497.6	495	1	0	0	0	A625D1	13594.7	6452.3	495	5
0	0	13479.9	6698.3	495	1	0	0	0	0	0	0	0	0
0	0	13751.8	6825.1	495	1	0	0	0	0	0	0	0	0
0	0	13918.3	6468.2	495	1	0	0	0	0	0	0	0	0
0	0	13646.4	6341.4	495	1	0	0	0	0	0	0	0	0
0	0	13615.8	6406.9	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A628	1	13522	6187	495	1	0	0	0	A628D1	13503.5	6226.6	495	5
0	0	13362.2	6112.5	495	1	0	0	0	0	0	0	0	0
0	0	13325.3	6191.7	495	1	0	0	0	0	0	0	0	0
0	0	13485	6266.2	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A630	1	13646.4	6341.4	495	1	0	0	0	A630D1	13664	6303.5	495	5
0	0	13785.8	6406.4	495	1	0	0	0	0	0	0	0	0
0	0	13822.7	6327.2	495	1	0	0	0	0	0	0	0	0
0	0	13683.3	6262.2	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C1	1	13027.7	7669.7	495	1	0	0	0	A6P02	13248.7	7430.7	495	5
0	0	13190.2	7745.5	495	1	0	0	0	A6P01	13092.6	7529	495	5
0	0	13321.2	7464.5	495	1	0	0	0	0	0	0	0	0
0	0	13285	7447.6	495	3	0	0	0	0	0	0	0	0
0	0	13212.5	7413.8	495	1	0	0	0	0	0	0	0	0
0	0	13158.1	7388.5	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A627	1	13584.2	6053.5	495	1	0	0	0	A627D1	13561.1	6098.8	495	5
0	0	13773.2	5648.2	495	1	0	0	0	0	0	0	0	0
0	0	13501.3	5521.4	495	1	0	0	0	0	0	0	0	0
0	0	13250.1	6060.2	495	1	0	0	0	0	0	0	0	0
0	0	13522	6187	495	1	0	0	0	0	0	0	0	0
0	0	13542	6144.1	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A626	1	13454.5	6331.7	495	1	0	0	0	A626D1	13433.3	6377	495	5
0	0	13484.7	6266.2	495	1	0	0	0	0	0	0	0	0
0	0	13213.1	6139.4	495	1	0	0	0	0	0	0	0	0
0	0	13041.8	6506.8	495	1	0	0	0	0	0	0	0	0
0	0	13313.3	6633.9	495	1	0	0	0	0	0	0	0	0
0	0	13412.2	6422.4	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A624	1	13225	6823.8	495	1	0	0	0	A624D1	13203.9	6869.2	495	5
0	0	13313.3	6633.9	495	1	0	0	0	0	0	0	0	0
0	0	13041.8	6506.8	495	1	0	0	0	0	0	0	0	0
0	0	12893.9	6824	495	1	0	0	0	0	0	0	0	0
0	0	13165.8	6950.8	495	1	0	0	0	0	0	0	0	0
0	0	13182.7	6914.5	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A622	1	13147.2	6990.6	495	1	0	0	0	A622D1	13126.1	7035.9	495	5
0	0	13165.8	6950.8	495	1	0	0	0	0	0	0	0	0
0	0	12893.9	6824	495	1	0	0	0	0	0	0	0	0
0	0	12744.5	7144.4	495	1	0	0	0	0	0	0	0	0
0	0	13016.4	7271.2	495	1	0	0	0	0	0	0	0	0
0	0	13105	7081.2	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A621	1	12924.5	7468.2	495	1	0	0	0	A621D1	12903.4	7513.5	495	5
0	0	13016.4	7271.2	495	1	0	0	0	0	0	0	0	0
0	0	12744.5	7144.4	495	1	0	0	0	0	0	0	0	0
0	0	12582	7492.8	495	1	0	0	0	0	0	0	0	0
0	0	12853.9	7619.6	495	1	0	0	0	0	0	0	0	0
0	0	12882.2	7558.9	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A620	1	12617.3	8127.1	495	1	0	0	0	A620D1	12596.1	8172.4	495	5
0	0	12765.2	7809.9	495	1	0	0	0	0	0	0	0	0
0	0	12493.3	7683.1	495	1	0	0	0	0	0	0	0	0
0	0	12243.9	8217.8	495	1	0	0	0	0	0	0	0	0
0	0	12515.8	8344.6	495	1	0	0	0	0	0	0	0	0
0	0	12575	8217.7	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A618	1	12456.7	8471.5	495	1	0	0	0	A618D1	12435.5	8516.8	495	5
0	0	12515.8	8344.6	495	1	0	0	0	0	0	0	0	0
0	0	12243.9	8217.8	495	1	0	0	0	0	0	0	0	0
0	0	12133	8455.8	495	1	0	0	0	0	0	0	0	0
0	0	12404.9	8582.5	495	1	0	0	0	0	0	0	0	0
0	0	12414.4	8562.1	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A616	1	12395.4	8602.9	495	1	0	0	0	A616D1	12374.3	8648.2	495	5
0	0	12404.9	8582.5	495	1	0	0	0	0	0	0	0	0
0	0	12133	8455.8	495	1	0	0	0	0	0	0	0	0
0	0	11980.9	8782	495	1	0	0	0	0	0	0	0	0
0	0	12252.8	8908.8	495	1	0	0	0	0	0	0	0	0
0	0	12353.1	8693.6	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A614	1	12152.4	9124.1	495	1	0	0	0	A614D1	12131.3	9169.4	495	5
0	0	12252.8	8908.8	495	1	0	0	0	0	0	0	0	0
0	0	11980.9	8782	495	1	0	0	0	0	0	0	0	0
0	0	11827.9	9110.1	495	1	0	0	0	0	0	0	0	0
0	0	12099.8	9236.9	495	1	0	0	0	0	0	0	0	0
0	0	12110.1	9214.7	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A612	1	12089	9260	495	1	0	0	0	A612D1	12067.9	9305.3	495	5
0	0	12099.8	9236.9	495	1	0	0	0	0	0	0	0	0
0	0	11827.9	9110.1	495	1	0	0	0	0	0	0	0	0
0	0	11699.6	9385.2	495	1	0	0	0	0	0	0	0	0
0	0	11971.5	9512	495	1	0	0	0	0	0	0	0	0
0	0	12046.7	9350.6	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A610	1	11848.1	9776.6	495	1	0	0	0	A610D1	11827	9821.9	495	5
0	0	11971.5	9512	495	1	0	0	0	0	0	0	0	0
0	0	11699.6	9385.2	495	1	0	0	0	0	0	0	0	0
0	0	11503.5	9805.7	495	1	0	0	0	0	0	0	0	0
0	0	11775.4	9932.5	495	1	0	0	0	0	0	0	0	0
0	0	11805.8	9867.2	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A608	1	11743.7	10000.5	495	1	0	0	0	A608D1	11722.6	10045.8	495	5
0	0	11775.4	9932.5	495	1	0	0	0	0	0	0	0	0
0	0	11503.5	9805.7	495	1	0	0	0	0	0	0	0	0
0	0	11351.4	10132	495	1	0	0	0	0	0	0	0	0
0	0	11623.3	10258.8	495	1	0	0	0	0	0	0	0	0
0	0	11701.5	10091.1	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A606	1	11545.1	10426.4	495	1	0	0	0	A606D1	11524	10471.7	495	5
0	0	11623.3	10258.8	495	1	0	0	0	0	0	0	0	0
0	0	11351.4	10132	495	1	0	0	0	0	0	0	0	0
0	0	11220.4	10412.9	495	1	0	0	0	0	0	0	0	0
0	0	11492.3	10539.7	495	1	0	0	0	0	0	0	0	0
0	0	11502.8	10517	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A604	1	11481.7	10562.4	495	1	0	0	0	A604D1	11460.6	10607.7	495	5
0	0	11492.3	10539.7	495	1	0	0	0	0	0	0	0	0
0	0	11220.4	10412.9	495	1	0	0	0	0	0	0	0	0
0	0	11075.7	10723.2	495	1	0	0	0	0	0	0	0	0
0	0	11347.6	10850	495	1	0	0	0	0	0	0	0	0
0	0	11439.4	10653	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A602	1	11238.7	11083.5	495	1	0	0	0	A602D1	11217.6	11128.8	495	5
0	0	11347.6	10850	495	1	0	0	0	0	0	0	0	0
0	0	11075.7	10723.2	495	1	0	0	0	0	0	0	0	0
0	0	10904.1	11094.1	495	1	0	0	0	0	0	0	0	0
0	0	11177.8	11214	495	1	0	0	0	0	0	0	0	0
0	0	11196.4	11174.1	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C3	3	11177.8	11214	495	1	0	0	0	A6P07	11054.5	11478.4	495	5
0	0	10682.3	11214	495	1	0	0	0	A6P08	10682.3	11478.7	495	5
0	0	10682.3	11398.7	495	3	0	0	0	0	0	0	0	0
0	0	10682.3	11558.7	495	1	0	0	0	0	0	0	0	0
0	0	10682.3	11744	495	1	0	0	0	0	0	0	0	0
0	0	10915.8	11776	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6S11	1	13285	7447.6	495	1	0	0	0	A6P03	13423.1	7222.4	495	5
0	0	13312.2	7460.3	495	1	0	0	0	A6P02	13248.7	7430.7	495	5
0	0	13386.1	7301.7	495	3	0	0	0	0	0	0	0	0
0	0	13460.1	7143.1	495	1	0	0	0	0	0	0	0	0
0	0	13306	7071.3	495	1	0	0	0	0	0	0	0	0
0	0	13158.1	7388.5	495	1	0	0	0	0	0	0	0	0
0	0	13212.5	7413.8	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C4	1	12314.2	7538.9	495	1	0	0	0	A6P04	12809.6	7714.7	495	5
0	0	12293.9	7590.1	495	1	0	0	0	A6P05	12331.9	7492	495	5
0	0	12765.2	7809.9	495	3	0	0	0	0	0	0	0	0
0	0	12853.9	7619.6	495	1	0	0	0	0	0	0	0	0
0	0	12374.3	7395.9	495	1	0	0	0	0	0	0	0	0
0	0	12353	7446.7	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6S21	3	12353	7446.7	495	1	0	0	0	A6P05	12331.9	7492	495	5
0	0	12397	7342	495	1	0	0	0	A6P06	12199	7426.7	420	5
0	0	12264.1	7272.7	420	3	0	0	0	0	0	0	0	0
0	0	12134	7580.7	420	1	0	0	0	0	0	0	0	0
0	0	12271.6	7640.4	495	1	0	0	0	0	0	0	0	0
0	0	12314.2	7538.9	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6WC	1	13901.6	5794	495	1	0	0	0	0	0	0	0	0
0	0	13683.3	6262.2	495	1	0	0	0	0	0	0	0	0
0	0	13955.2	6389	495	1	0	0	0	0	0	0	0	0
0	0	14173.5	5920.8	495	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C5	1	10682.3	11398.4	495	1	0	0	0	A6P08	10682.3	11478.7	495	5
0	0	10682.3	11214	495	1	0	0	0	A6P09	10462.3	11478.4	495	5
0	0	10462.3	11214	495	3	0	0	0	0	0	0	0	0
0	0	10462.3	11744	495	1	0	0	0	0	0	0	0	0
0	0	10682.3	11744	495	1	0	0	0	0	0	0	0	0
0	0	10682.3	11558.4	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6S31	3	10462.3	11214	495	1	0	0	0	A6P09	10462.3	11478.4	495	5
0	0	10312.3	11214	420	3	0	0	0	B5P01	10312.3	11478.4	420	5
0	0	10312.3	11744	420	1	0	0	0	0	0	0	0	0
0	0	10462.3	11744	495	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6E1	1	13773.2	5648.2	495	1	0	0	0	0	0	0	0	0
0	0	13901.6	5794	495	1	0	0	0	0	0	0	0	0
0	0	13901.6	5794	495	1	0	0	0	0	0	0	0	0
0	0	13773.2	5648.2	495	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6E2	1	10915.8	11776	495	1	0	0	0	0	0	0	0	0
0	0	10915.8	11776	495	1	0	0	0	0	0	0	0	0
0	0	11100.4	11801.3	495	1	0	0	0	0	0	0	0	0
0	0	11139.6	11717.1	495	1	0	0	0	0	0	0	0	0
0	0	11139.6	11717.1	495	1	0	0	0	0	0	0	0	0
0	0	11100.4	11801.3	495	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C2	2	12765.2	7809.9	495	1	0	0	0	A6P10	11274.9	11214	495	5
0	0	11177.8	11214	495	1	0	0	0	A603D1	11461.3	11027.3	495	5
0	0	11374	11214	495	1	0	0	0	A605D1	11537.4	10864.2	495	5
0	0	12926.5	7885.1	495	1	0	0	0	A607D1	11768.1	10369.3	495	5
0	0	0	0	0	0	0	0	0	A609D1	11844.1	10206.2	495	5
0	0	0	0	0	0	0	0	0	A611D1	12074.9	9711.3	495	5
0	0	0	0	0	0	0	0	0	A613D1	12151	9548.2	495	5
0	0	0	0	0	0	0	0	0	A615D1	12535.6	8723.5	495	5
0	0	0	0	0	0	0	0	0	A617D1	12596.9	8592.1	495	5
0	0	0	0	0	0	0	0	0	A6P13	12845.8	7847.5	495	5
0	0	0	0	0	0	0	0	0	A620D1	12596.1	8172.4	495	5
0	0	0	0	0	0	0	0	0	A618D1	12435.5	8516.8	495	5
0	0	0	0	0	0	0	0	0	A616D1	12374.3	8648.2	495	5
0	0	0	0	0	0	0	0	0	A614D1	12131.3	9169.4	495	5
0	0	0	0	0	0	0	0	0	A612D1	12067.9	9305.3	495	5
0	0	0	0	0	0	0	0	0	A610D1	11827	9821.9	495	5
0	0	0	0	0	0	0	0	0	A608D1	11722.6	10045.8	495	5
0	0	0	0	0	0	0	0	0	A606D1	11524	10471.7	495	5
0	0	0	0	0	0	0	0	0	A604D1	11460.6	10607.7	495	5
0	0	0	0	0	0	0	0	0	A602D1	11217.6	11128.8	495	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C9	2	13773.2	5648.2	495	1	0	0	0	A627D1	13561.1	6098.8	495	5
0	0	12996.8	7313.3	495	1	0	0	0	A628D1	13503.5	6226.6	495	5
0	0	31001.4	7388.5	495	1	0	0	0	A630D1	13664	6303.5	495	5
0	0	13901.6	5794	495	1	0	0	0	A626D1	13433.3	6377	495	5
0	0	0	0	0	0	0	0	0	A625D1	13594.7	6452.3	495	5
0	0	0	0	0	0	0	0	0	A624D1	13203.9	6869.2	495	5
0	0	0	0	0	0	0	0	0	A622D1	13126.1	7035.9	495	5
0	0	0	0	0	0	0	0	0	A623D1	13365.2	6944.4	495	5
0	0	0	0	0	0	0	0	0	A6P11	13077.4	7350.9	495	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C8	2	12996.8	7313.3	495	1	0	0	0	A6P11	13077.4	7350.9	495	5
0	0	12865.8	7594.2	495	1	0	0	0	A6P01	13092.6	7529	495	5
0	0	13027.1	7669.4	495	1	0	0	0	A621D1	12903.4	7513.5	495	5
0	0	31001.4	7388.5	495	1	0	0	0	A6P12	12946.4	7631.8	495	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C7	2	12865.8	7594.2	495	1	0	0	0	A6P12	12946.4	7631.8	495	5
		12765.2	7809.9	495	1	0	0	0	A6P04	12809.6	7714.7	495	5
		12926.5	7885.1	495	1	0	0	0	A619D1	12977.2	7776.4	495	5
		13027.1	7669.4	495	1	0	0	0	A6P13	12845.8	7847.5	495	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6C6	2	11177.8	11214	495	1	0	0	0	A6P10	11274.9	11214	495	5
0	0	10915.8	11776	495	1	0	0	0	A6P07	11054.5	11478.4	495	5
0	0	11100.4	11801.3	495	1	0	0	0	A601D1	11303.7	11365.4	495	5
0	0	11374	11214	495	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B5C3	1	9212.3	11559	420	3	0	0	0	B5P01	10312.3	11478.4	420	5
0	0	9212.3	11744	420	1	0	0	0	B5P04	10087.3	11214	420	5
0	0	10312.3	11744	420	3	0	0	0	B5P03	9487.3	11214	420	5
0	0	10312.3	11214	420	1	0	0	0	B5P02	9212.7	11479	420	5
0	0	10177.3	11214	420	3	0	0	0	0	0	0	0	0
0	0	9997.3	11214	420	1	0	0	0	0	0	0	0	0
0	0	9577.3	11214	420	3	0	0	0	0	0	0	0	0
0	0	9397.3	11214	420	1	0	0	0	0	0	0	0	0
0	0	9212.3	11214	420	1	0	0	0	0	0	0	0	0
0	0	9212.3	11399	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B5S11	3	10177.3	11214	420	1	0	0	0	B5P04	10087.3	11214	420	5
0	0	10177.3	10794	210	3	0	0	0	B4P10	10087.3	10794	210	5
0	0	9997.3	10794	210	1	0	0	0	0	0	0	0	0
0	0	9997.3	11214	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B5S12	3	9577.3	11214	420	1	0	0	0	B5P03	9487.3	11214	420	5
0	0	9577.3	10794	210	3	0	0	0	B4P11	9487.3	10794	210	5
0	0	9397.3	10794	210	1	0	0	0	0	0	0	0	0
0	0	9397.3	11214	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B5C2	1	9212.3	11399	420	1	0	0	0	B5P02	9212.7	11479	420	5
0	0	9212.3	11241	420	1	0	0	0	B5P15	8492.3	11479	420	5
0	0	8492.3	11241	420	3	0	0	0	0	0	0	0	0
0	0	8492.3	11744	420	1	0	0	0	0	0	0	0	0
0	0	9212.3	11744	420	1	0	0	0	0	0	0	0	0
0	0	9212.3	11559	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B501	1	8255.3	11464	420	1	0	0	0	B501D1	8255.3	11414	420	5
0	0	8255.3	11744	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	11744	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	11249	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	11249	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	11364	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B502	1	8255.3	10134	420	1	0	0	0	B502D1	8255.3	10184	420	5
0	0	8255.3	10084	420	1	0	0	0	B502D2	8255.3	11084	420	5
0	0	7655.3	10084	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	11249	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	11249	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	11134	420	3	0	0	0	0	0	0	0	0
0	0	8255.3	11034	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	10234	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B503	1	8255.3	9024	420	1	0	0	0	B503D1	8255.3	9074	420	5
0	0	8255.3	8974	420	1	0	0	0	B503D2	8255.3	9984	420	5
0	0	7655.3	8974	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	10084	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	10084	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	10034	420	3	0	0	0	0	0	0	0	0
0	0	8255.3	9934	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	9124	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B504	1	8255.3	7914	420	1	0	0	0	B504D1	8255.3	7964	420	5
0	0	8255.3	7864	420	1	0	0	0	B504D2	8255.3	8874	420	5
0	0	7655.3	7864	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	8974	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	8974	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	8924	420	3	0	0	0	0	0	0	0	0
0	0	8255.3	8824	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	8014	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B505	1	8255.3	6814	420	1	0	0	0	B505D1	8255.3	6864	420	5
0	0	8255.3	6734	420	1	0	0	0	B505D2	8255.3	7764	420	5
0	0	7655.3	6734	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	7864	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	7864	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	7814	420	3	0	0	0	0	0	0	0	0
0	0	8255.3	7714	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	6914	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B506	1	8255.3	5094	420	1	0	0	0	B506D1	8255.3	5144	420	5
0	0	8255.3	5044	420	1	0	0	0	B506D2	8255.3	6044	420	5
0	0	7655.3	5044	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	6164	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	6164	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	6094	420	3	0	0	0	0	0	0	0	0
0	0	8255.3	5994	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	5194	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B508	1	8255.3	4894	420	1	0	0	0	B508D1	8255.3	4944	420	5
0	0	8255.3	4444	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	4444	420	1	0	0	0	0	0	0	0	0
0	0	7655.3	5044	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	5044	420	1	0	0	0	0	0	0	0	0
0	0	8255.3	4994	420	3	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
B507	1	8492.3	6094	420	1	0	0	0	B507D1	8492.3	5144	420	5
0	0	8492.3	6133.3	420	1	0	0	0	B507D2	8492.3	6044	420	5
0	0	9093.4	6133.3	420	1	0	0	0	0	0	0	0	0
0	0	9093.4	5069.4	420	1	0	0	0	0	0	0	0	0
